StrategicIssues,project_name,PriorityOrder,Sub-activities,Strategy,ProjectIndicators,ImplementingAgency,AlignmentwithThailandVision,Budget
ประเด็นยุทธศาสตร์ที่ 2 : เสริมสร้างความเข้มแข็งกระบวนการผลิตและการแปรรูปสินค้าเกษตรและอาหารให้มีความปลอดภัยอย่างครบวงจร,พัฒนาระบบผลิตพืชแบบครบวงจร,16.0,"1. พัฒนาระบบการผลิตกล้วยน้ำว้าแบบครบวงจร ตามหลักปรัชญา ศก.พอเพียง
1.1 พัฒนาองค์ความรู้และส่งเสริมการผลิต
1.2 ส่งเสริมการรวมกลุ่ม (วัสดุแปรรูป)
1.3 ส่งเสริมการตลาด (สร้างโรงอบพลังงานแสงอาทิตย์โรงงานแปรรูปหลังคาเมทัลชีท)
2. ส่งเสริมการปลูกไม้ผลแบบปลอดภัยและเป็นมิตรต่อสิ่งแวดล้อม
2.1 พัฒนาองค์ความรู้และส่งเสริมการผลิตระบบ GAP เกษตรกรผู้ปลูกไม้ผล",กลยุทธ์ที่ 1 ส่งเสริมบริโภคปลอดภัย,ร้อยละของจํานวนแปลงฟาร์มที่ผ่านการประเมินความพร้อมเบื้องต้นของจํานวนแปลงฟาร์มที่สมัคร(PGAP) ร้อยละ 100,สำนักงานเกษตรจังหวัดปทุมธานี,ด้านการสร้างความสามารถในการแข่งขัน,7800000.0
ประเด็นยุทธศาสตร์ที่ 2 : เสริมสร้างความเข้มแข็งกระบวนการผลิตและการแปรรูปสินค้าเกษตรและอาหารให้มีความปลอดภัยอย่างครบวงจร,พัฒนามาตรฐานการผลิตสัตว์น้ำ,54.0,"1.อบรมหลักสูตร การจัดการฟาร์มเพาะเลี้ยงสัตว์น้ำ หัวข้อมาตรฐานการปฏิบัติทางการประมงที่ดีสําหรับฟาร์มเพาะเลี้ยงสัตว์น้ำ ระบบการรับรองมาตรฐานคุณภาพการผลิตสัตว์น้ำ การพัฒนาฟาร์มเพาะเลี้ยงสัตว์น้ำเข้าสู่มาตรฐานและการใช้เชื้อจุลินทรีย์/น้ำหมักชีวภาพในระบบการผลิตสินค้าสัตว์น้ำ จํานวน 5 ครั้ง 200 คน 
2.สนับสนุนปัจจัยการผลิตบางส่วนให้แก่เกษตรกรผู้เข้าร่วมโครงการ (พันธุ์สัตว์น้ำอาหารสัตว์น้ำ จุลินทรีย์น้ำ) 200 ราย
3. ส่งเสริมและพัฒนาด้านการผลิตสินค้าสัตว์น้ำปลอดภัยโดยการใช้เชื้อจุลินทรีย์/น้ำหมักชีวภาพในระบบการเพาะเลี้ยงเพื่อการผลิตสินค้าสัตว์น้ำ
4. ตรวจสอบและรับรองคุณภาพสินค้าประมง (ตรวจประเมินฟาร์มและตรวจวิเคราะห์ตัวอย่างเนื้อปลา ) - ตรวจประเมินฟาร์ม จํานวน 200 ฟาร์มและต้องได้รับใบรับรองมาตรฐานฟาร์มระดับมาตรฐานความปลอดภัยในระดับ GAP ไม่น้อยกว่าร้อยละ 15
5. การบริหารโครงการ : ประสานอํานวยการ ติดตามให้คําแนะนํา แก้ไขปัญหา อุปสรรค ที่อาจจะเกิดขึ้น และประเมินผลโครงการ",กลยุทธ์ที่ 1 ส่งเสริมบริโภคปลอดภัย,"1) ร้อยละเกษตรกรที่เข้าร่วมโครงการ ผ่านการเตรียมความพร้อมเข้าสู่มาตรฐานฟาร์มระดับมาตรฐานความปลอดภัยในระดับ GAP ได้ไม่น้อยกว่าร้อยละ 15 (ปีฐาน 59จํานวน 156 ราย)
2) ร้อยละเกษตรกรที่เข้าร่วมโครงการส่วนที่เหลือผ่านเกณฑ์มาตรฐานการเตรียมความพร้อมเพื่อพัฒนาเข้าสู่ระดับ GAP ได้ไม่น้อยร้อยละ 90 (ปีฐาน59 จํานวน 248 ราย)",สำนักงานประมงจังหวัดปทุมธานี,ด้านการสร้างความสามารถในการแข่งขัน,5500000.0
ประเด็นยุทธศาสตร์ที่ 2 : เสริมสร้างความเข้มแข็งกระบวนการผลิตและการแปรรูปสินค้าเกษตรและอาหารให้มีความปลอดภัยอย่างครบวงจร,การผลิตข้าวโภชนาการสูงแบบครบวงจรเพื่อเพิ่มมูลค่า,2.0,"1) ศึกษาและรวมรวมข้อมูลพันธุ์ข้าวสี(โภชนาการสูง) ได้แก่ ลักษณะประจําพันธุ์การใช้ปุ๋ย การควบคุมโรคและแมลง และข้อมูลค่าโภชนาการ ที่จะนํามาปลูกทั้ง 3 พันธุ์ คือพันธุ์ทับทิมชุมแพ หอมมะลิดําหนองคาย และข้าวไรซ์เบอร์รี่
2) ปลูกศึกษา จํานวน 3 พันธุ์ได้แก่ พันธุ์ทับทิมชุมแพ หอมมะลิดําหนองคาย และข้าวไรซ์เบอร์รี่ โดยปลูกพันธุ์ละ 5 ไร่บันทึกข้อมูล การเจริญเติบโตผลผลิต และคุณค่าทางโภชนาการ
3) ผลิตเมล็ดพันธุ์ข้าวสี (โภชนาการสูง) คุณภาพดี เพื่อกระจายให้กลุ่มที่เข้าร่วมโครงการ พันธุ์ละ 3 ตัน",กลยุทธ์ที่ 1 ส่งเสริมบริโภคปลอดภัย,"1) ชาวนาสามารถผลิตข้าวสี (โภชนาการสูง) ได้คุณภาพ ผ่านมาตรฐานGAP
2) ได้กลุ่มผู้ผลิตข้าวสี(โภชนาการสูง) จํานวน 2กลุ่ม",สำนักงานเกษตรและสหกรณ์จังหวัดปทุมธานี/ศูนย์วิจัยข้าว,ด้านการสร้างความสามารถในการแข่งขัน,4040000.0
ประเด็นยุทธศาสตร์ที่ 2 : เสริมสร้างความเข้มแข็งกระบวนการผลิตและการแปรรูปสินค้าเกษตรและอาหารให้มีความปลอดภัยอย่างครบวงจร,การเพิ่มประสิทธิภาพการปรับปรุงเมล็ดพันธุ์ข้าว,36.0,"1. สํารวจเกษตรกร สมาชิกสหกรณ์ที่ผลิตเมล็ดพันธุ์
2. ประสานงาน หน่วยงานที่เกี่ยวข้องให้ความรู้ในการดําเนินงาน
3. ดําเนินการจัดหาเครื่องคัดแยกเมล็ดพันธุ์ เครื่องอบ อุปกรณ์คัดสิ่งเจือปน โกดัง/โรงคลุม พร้อมอุปกรณ์ในการก่อตั้ง
4.ประสานหน่วยงานที่เกี่ยวข้องในการรับรองมาตรฐานเมล็ดพันธุ์
5. ส่งเสริมและพัฒนาการสร้างเครือข่ายเชื่อมโยงการผลิต/การตลาด
6. ติดตามการดําเนินงานและสรุปผลโครงการ",กลยุทธ์ที่ 1 ส่งเสริมบริโภคปลอดภัย,"1.ร้อยละของต้นทุนการผลิตของเกษตรกรที่เข้าร่วมโครงการลดลงไม่น้อยกว่าร้อยละ 10
2. จํานวนยอดขายเมล็ดพันธุ์ที่ผ่านและได้รับการรับรองมาตรฐานเพิ่มขึ้นไม่น้อยกว่าร้อยละ 10 ของยอดขายเดิม",สำนักงานสหกรณ์จังหวัดปทุมธานี,ด้านการสร้างความสามารถในการแข่งขัน,10000000.0
ประเด็นยุทธศาสตร์ที่ 2 : เสริมสร้างความเข้มแข็งกระบวนการผลิตและการแปรรูปสินค้าเกษตรและอาหารให้มีความปลอดภัยอย่างครบวงจร,ส่งเสริมการผลิตสินค้าเกษตรแบบฟาร์มอัจฉริยะ,10.0,"1. การพัฒนาฐานข้อมูลเชิงพื้นที่และข้อมูลเปิดเพื่อสนับสนุนการเพาะปลูกกล้วยหอมทองในประเทศไทย
2. การพัฒนาระบบเก็บและวิเคราะห์ผลข้อมูลสภาวะแวดล้อมเพื่อการเกษตรขนาดใหญ่
3. การพัฒนาระบบเก็บและวิเคราะห์ผลข้อมูลสภาวะแวดล้อมเพื่อการเกษตรขนาดใหญ่
4. ระบบสารสนเทศภูมิศาสตร์และโปรแกรมบนโทรศัพท์สมาร์ทโฟนเพื่อสนับสนุนการเกษตรอัจฉริยะ",กลยุทธ์ที่ 1 ส่งเสริมบริโภคปลอดภัย,ร้อยละของจํานวนแปลงฟาร์มที่ผ่านการประเมินความพร้อมเบื้องต้นของจํานวนแปลงฟาร์มที่สมัคร(PGAP) ร้อยละ 100,สำนักงานเกษตรและสหกรณ์จังหวัดปทุมธานี/ม.ธรรมศาสตร์ศูนย์รังสิต,ด้านการสร้างความสามารถในการแข่งขัน,9200000.0
ประเด็นยุทธศาสตร์ที่ 2 : เสริมสร้างความเข้มแข็งกระบวนการผลิตและการแปรรูปสินค้าเกษตรและอาหารให้มีความปลอดภัยอย่างครบวงจร,การแก้ภัยแล้งของเกษตรกรโดยใช้เทคโนโลยีพลังงานทดแทน(ระบบสูบน้ำพลังงานแสงอาทิตย์),45.0,"1. ประชาสัมพันธ์เชิญชวน กลุ่มเป้าหมายได้แก่ ผู้นําชุมชนและเกษตรกร เพื่อเข้าร่วมโครงการ
2. จัดอบรมสัมมนาให้ความรู้ อําเภอละ 1 ครั้งๆ ละ 35 ราย
3. มอบเครื่องสูบน้ำพลังงานแสงอาทิตย์พร้อมติดตั้งอุปกรณ์ กับ อปท. ทั้ง 7 พื้นที่
4. ติดตามประเมินผลหลังเสร็จสิ้นโครงการ",กลยุทธ์ที่ 1 ส่งเสริมบริโภคปลอดภัย,ร้อยละการลดลงของพลังงานที่กลุ่มเกษตร อปท.และประชาชนที่เข้าร่วมโครงการใช้พลังงานทดแทนลดค่าใช้จ่ายการใช้น้ำมัน,สำนักงานพัฒนาพลังงานจังหวัดปทุมธานี,ด้านการสร้างความสามารถในการแข่งขัน,9800000.0
ประเด็นยุทธศาสตร์ที่ 2 : เสริมสร้างความเข้มแข็งกระบวนการผลิตและการแปรรูปสินค้าเกษตรและอาหารให้มีความปลอดภัยอย่างครบวงจร,พัฒนาบรรจุภัณฑ์ผลิตภัณฑ์ OTOP และผลิตภัณฑ์ทางการเกษตร,11.0,"1. จัดอบรมผู้ประกอบการ OTOP และสินค้าเกษตร
2. จ้างเหมาพัฒนาบรรจุภัณฑ์ ผลิตภัณฑ์ OTOP และผลิตภัณฑ์ทางการเกษตร",กลยุทธ์ที่ 2 เพิ่มขีดความสามารถเชิงธุรกิจของผู้ประกอบการและสถาบันเกษตกร,1) ผลิตภัณฑ์ที่ได้รับการออกแบบบรรจุภัณฑ์จํานวน 10 ผลิตภัณฑ์,สำนักงานพัฒนาชุมชนจังหวัดปทุมธานี,ด้านการสร้างความสามารถในการแข่งขัน,1600000.0
ประเด็นยุทธศาสตร์ที่ 2 : เสริมสร้างความเข้มแข็งกระบวนการผลิตและการแปรรูปสินค้าเกษตรและอาหารให้มีความปลอดภัยอย่างครบวงจร,การยกระดับมาตรฐานการผลิตอาหารปลอดภัยด้วยนวัตกรรม,17.0,"1. จัดอบรมมาตรฐานการแปรรูปอาหารปลอดภัย โดยเปิดรับผู้เข้าร่วมโครงการ
2. ประชุมระดมความคิด
2.1 ทําการคัดเลือกผู้ประกอบการ เข้ารับการยกระดับมาตรฐานผลิตภัณฑ์ด้วยการนําวิทยาศาสตร์ เทคโนโลยีและนวัตกรรม ช่วยในการยกระดับผลิตภัณฑ์ด้านอาหารปลอดภัย และคัดเลือกเทคโนโลยีที่สอดคล้องกับความต้องการ
2.2 ดําเนินการยกระดับผลิตภัณฑ์ด้านอาหารปลอดภัย
2.3 จัดทํารายงานผลการยกระดับผลิตภัณฑ์ด้านอาหารปลอดภัย
3. ประชุมระดมความคิดระหว่างผู้มีส่วนได้ส่วนเสีย
3.1 คัดเลือกผลิตภัณฑ์ของผู้เข้าร่วมโครงการเพื่อการออกแบบบรรจุภัณฑ์
3.2 ดําเนินการออกแบบบรรจุภัณฑ์
3.3 จัดทํารายงานผลการออกแบบบรรจุภัณฑ์",กลยุทธ์ที่ 2 เพิ่มขีดความสามารถเชิงธุรกิจของผู้ประกอบการและสถาบันเกษตกร,1. จํานวนผู้เข้ารับการอบรมมาตรฐานการแปรรูปอาหารปลอดภัยจํานวน 50 ราย,สำนักงานเกษตรและสหกรณ์จังหวัดปทุมธานี/วว.,ด้านการสร้างความสามารถในการแข่งขัน,4000000.0
ประเด็นยุทธศาสตร์ที่ 2 : เสริมสร้างความเข้มแข็งกระบวนการผลิตและการแปรรูปสินค้าเกษตรและอาหารให้มีความปลอดภัยอย่างครบวงจร,พัฒนาขีดความสามารถในการแข่งขันของอุตสาหกรรมแปรรูปการเกษตรและอาหาร,18.0,"1. ประชาสัมพันธ์ และจัดสัมมนาเปิดตัวโครงการ
2. จัดจ้างเหมาบริการให้บริการคําปรึกษาแนะนําแก่สถานประกอบการ
3. ให้บริการคําปรึกษาแนะนํา แก่สถานประกอบการ
4. จัดสัมมนาปิดโครงการ
5. ติดตาม สรุปและรายงานผลการดําเนินงาน",กลยุทธ์ที่ 2 เพิ่มขีดความสามารถเชิงธุรกิจของผู้ประกอบการและสถาบันเกษตกร,สถานประกอบการได้รับคําปรึกษาแนะนําเชิงลึกอย่างน้อยจํานวน 5 โรงงานรวม 10 แผนงาน (ไม่เกิน 2 แผนงาน/สถานประกอบการ),สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,ด้านการสร้างความสามารถในการแข่งขัน,2200000.0
ประเด็นยุทธศาสตร์ที่ 2 : เสริมสร้างความเข้มแข็งกระบวนการผลิตและการแปรรูปสินค้าเกษตรและอาหารให้มีความปลอดภัยอย่างครบวงจร,รณรงค์ส่งเสริมการบริโภคอาหารปลอดภัย,28.0,"1. จัดฝึกอบรมผู้ผลิตผู้ประกอบการ 50 ราย
2. ส่งเสริมช่องทางการตลาด(งานมหกรรมสินค้าเกษตรและอาหารปลอดภัย จังหวัดปทุมธานี) 1 งาน
3. รณรงค์ประชาสัมพันธ์(แคมเปญ “ผู้ว่าชวนชิม”) 1 งาน",กลยุทธ์ที่ 1 ส่งเสริมบริโภคปลอดภัย กลยุทธ์ที่ 2 เพิ่มขีดความสามารถเชิงธุรกิจของผู้ประกอบการและสถาบันเกษตรกร,จํานวนผู้ผลิตผู้ประกอบการสินค้าเกษตรและอาหารปลอดภัยเข้าร่วมกิจกรรมเชื่อมโยงตลาดและประชาสัมพันธ์ไม่น้อยกว่า 100 ร้าน,สำนักงานเกษตรและสหกรณ์จังหวัดปทุมธานี,ด้านการสร้างความสามารถในการแข่งขัน,15000000.0
