StrategicIssues,project_name,PriorityOrder,Sub-activities,Strategy,ProjectIndicators,ImplementingAgency,AlignmentwithThailandVision,Budget
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ก่อสร้างศูนย์พัฒนาเด็กเล็ก,79.0,ก่อสร้างศูนย์พัฒนา จํานวน 1 แห่งเด็กเล็กเพิ่อองค์ความรู้มากยิ่งขึ้น,กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,ก่อสร้างศูนย์เด็กเล็กตําบลสวนพริกไทยหมู่ที่ 5,อําเภอเมืองปทุมธานี,3.1 การพัฒนาคุณภาพการศึกษา,2878000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ก่อสร้างศูนย์พัฒนาเด็กเล็ก อบต.บึงคอไห,80.0,พัฒนาศูนย์เด็กเล็ก จำนวน 1 แห่งเพิ่อองค์ความรู้มากยิ่งขึ้น,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,จํานวนนักเรียนที่เข้ารับการศึกษาในศูนย์พัฒนาเด็กเล็ก,อําเภอลําลูกกา,3.1 การพัฒนาคุณภาพการศึกษา,2300000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,พัฒนาศักยภาพแรงงานในสถานประกอบการ,89.0,1.ฝึกอบรมพัฒนาทักษะ2.จัดการศึกษา/ดูงาน3.จัดอบรม/สัมมนา,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,1.บุคลากรใน สปก.ได้รับการพัฒนาทักษะและกระบวนการคิด2.จัดสัมมนา/ศึกษาดูงาน/ฝึกอบรม17 ครั้ง,สำนักงานแรงงานจังหวัดปทุมธานี,1.1 แรงงานต่างด้าวผิดกฎหมาย การลักลอบหนีเข้าเมืองและการค้ามนุษย์,940700.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,พัฒนาศักยภาพแรงงานนอกระบบ,92.0,"1. จัดกิจกรรมอบรมให้ความรู้
2. ฝึกอาชีพและเพิ่มทักษะ",กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,1.แรงงานนอกระบบเข้ารับการอบรมให้ความรู้ 100 คน2.แรงงานนอกระบบได้รับการฝึกอาชีพเสริมเพิ่มรายได้300 คน,สำนักงานแรงงานจังหวัดปทุมธานี,1.1 แรงงานต่างด้าวผิดกฎหมาย การลักลอบหนีเข้าเมืองและการค้ามนุษย์,474350.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,นัดพบตลาดแรงงานเชิงคุณภาพ,93.0,การนัดพบตลาดงานเชิงคุณภาพ,กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,สร้างความแข็งแรงและพัฒนาชีวิตของแรงงานและครอบครัว,สำนักงานสาธารณสุขจังหวัดปทุมธานี,1.1 แรงงานต่างด้าวผิดกฎหมาย การลักลอบหนีเข้าเมืองและการค้ามนุษย์,500000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,จัดตั้งศูนย์อํานวยการด้านป้องกันและบรรเทาสาธารณภัยจังหวัดปทุมธานีอย่างมีส่วนร่วม,22.0,"1. จัดซื้อจัดจ้าง ผู้รับเหมางานอาคาร ศูนย์อก.ปภ.จ.ปท.
2. ดําเนินการสร้างศูนย์อํานวยการป้องกันและบรรเทาสาธารณภัยพร้อมระบบสาธารณูปโภค
3. จัดหาห้องน้ำห้องอาบน้ำ ห้องพักเวร เจ้าหน้าที่เผ้าระวัง
4. ปรับปรุงทางเข้าอาคาร ลานจอดรถปรับปรุงภูมิทัศน์
5. เดินระบบไฟฟ้า โทรศัพท์ สัญญาณอุปกรณ์สื่อสาร วาง แปลนสํานักงาน",กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ระบบเผ้าระวังและเผชิญเหตุที่มีประสิทธิภาพ มีการบูรณาการทํางานร่วมกันในการป้องกันและบรรเทาสาธารณภัย,สํานักงานป้องกันและบรรเทาสาธารณภัยจังหวัดปทุมธานี,1.6 การดูแลรักษาความสงบเรียบร้อยของบ้านเมืองและความปลอดภัยของประชาชนในพื้นที่,10000000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ก่อสร้างเขื่อนกันดินริมคลอง พื้นที่ตําบลบึงบอน,58.0,ก่อสร้างเขื่อนกันดินริมคลองพื้นที่ตําบลบึงบอน บริเวณหน้าวัดบึงบอน,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ประชาชนที่ใช้เส้นทางดังกล่าว,อําเภอหนองเสือ,3.4 การบริหารจัดการน้ำและระบบชลประทาน,7332000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ก่อสร้างคันป้องกันน้ำท่วมริมคลองสอง,41.0,ก่อสร้างระบบป้องกันน้ำท่วมและระบบระบาย,กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,การก่อสร้างระบบป้องกันน้ำท่วมและระบบระบายน้ำในเขตเทศบาลนครรังสิตครอบคลุมพื้นที่ในเขตเทศบาลนครรังสิตที่มีความเสี่ยงต่ออุทกภัยทั้งหมด,อําเภอธัญบุรี,3.3 การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,9749000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ก่อสร้างเขื่อนป้องกันตลิ่งเลียบคลองซอยที่ 6 ฝั่งเหนือ หมู่ 2 ตําบลรังสิต,82.0,ก่อสร้างเขื่อนป้องกันตลิ่งบริเวณพื้นที่ ต.รังสิต,กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,เป็นโครงการที่เกิดประโยชน์ต่อเด็กและเยาวชนตลอดทั้งประชาชนทั่วไป จะต้องได้รับการพัฒนาร่างกายได้มีสุขภาพและพลานามัยที่แข็งแรงมีจิตใจที่แข็งแรงโดยการออกกําลังสม่ําเสมอและเป็นการป้องกันและแก้ไขปัญหาด้านอบายมุขและยาเสพติดได้เป็นอย่างดี,อําเภอธัญบุรี,3.3 การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,47000000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ก่อสร้างเขื่อนป้องกันตลิ่ง บริเวณวัดเมตารางศ์ต.เชียงรากน้อย,23.0,ก่อสร้างเขื่อนป้องกันตลิ่งบริเวณพื้นที่ วัดเมตารางศ์ต.เชียงรากน้อย,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,1. พื้นที่ได้รับการมีมาตรฐานเพิ่มขึ้น2.แก้ไขปัญหาตลิ่งทรุด,กรมโยธาธิการและผังเมือง,3.3 การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,16000000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ก่อสร้างเขื่อนป้องกันตลิ่ง บริเวณวัดบางเดื่อต.บางเดื่อ,42.0,ก่อสร้างเขื่อนป้องกันตลิ่งบริเวณวัดบางเดื่อต.บางเดื่อ,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,1. พื้นที่ได้รับการมีมาตรฐานเพิ่มขึ้น2.แก้ไขปัญหาตลิ่งทรุด,กรมโยธาธิการและผังเมือง,3.3 การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,24000000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ปทุมธานีขับขี่ปลอดภัยสร้างว ินัยจราจร,95.0,การฝึกอบรมให้กับกลุ่มเป้าหมาย,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ผู้เข้าร่วมอบรมผ่านการอบรมตามหลักสูตรที่กําหนด,สํานักงานป้องกันและบรรเทาสาธารณภัยจังหวัดปทุมธานี,1.6 การดูแลรักษาความสงบเรียบร้อยของบ้านเมืองและความปลอดภัยของประชาชนในพื้นที่,500000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,เสริมสร้างความมั่นคงเพื่อสังคมอยู่เย็นเป็นสุขในพื้นที่จังหวัดปทุมธานี,25.0,"1.กิจกรรมในการป้องกันและแก้ไขปัญหายาเสพติดประจําปีงบประมาณ2561 จํานวน 9กิจกรรม
2.จัดทําสื่อประชาสัมพันธ์ที่ทุกภาคส่วนร่วมกันรณรงค์ต่อต้านยาเสพติด",กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,สังคมอยู่เย็นเป็นสุข,ปกครองจังหวัดปทุมธานี,1.6 การดูแลรักษาความสงบเรียบร้อยของบ้านเมืองและความปลอดภัยของประชาชนในพื้นที่,20000000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ก่อสร้างลานกีฬา/สนามกีฬาป้องกันและแก้ไขปัญหายาเสพติด ซอยรังสิต-นครนายก 45 ซอย 6,96.0,ก่อสร้างลานกีฬาซอยรังสิต-นครนายก 45เพิ่มช่องทางการออกกําลังกายแก่ ซอย 6ชุมชม,กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,ก่อสร้างลานกีฬาสนามจํานวน 1 แห่ง,อําเภอธัญบุรี,3.2 การพัฒนาด้านสาธารณสุข,425400.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ก่อสร้างลานกีฬา/สนามกีฬาป้องกันและแก้ไขปัญหายาเสพติด ซอยรังสิต-นครนายก 45 ซอย 2,75.0,ก่อสร้างลานกีฬาซอยรังสิต-นครนายก 45 ซอย 2เพิ่มช่องทางการออกกําลังกายแก่ชุมชม,กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,ก่อสร้างลานกีฬาสนามจํานวน 1 แห่ง,อําเภอธัญบุรี,3.2 การพัฒนาด้านสาธารณสุข,3151000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ก่อสร้างลานกีฬา/สนามกีฬาป้องกันและแก้ไขปัญหายาเสพติด ซอยรังสิต-ปทุมธานี 7,76.0,ก่อสร้างลานกีฬา ซอยรังสิต-ปทุมธานี 7เพิ่มช่องทางการออกกําลังกายแก่ชุมชม,กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,ก่อสร้างลานกีฬาสนามจํานวน 1 แห่ง,อําเภอธัญบุรี,3.2 การพัฒนาด้านสาธารณสุข,3151000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ก่อสร้างลานกีฬาอเนกประสงค์พร้อมอุปกรณ์สนาม,77.0,ก่อสร้างลานกีฬาอเนกประสงค์พร้อมอุปกรณ์สนาม หน้ามัสยิสแดง เพื่อเพิ่มช่องทางการออกกําลังกายแก่ชุมชม,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ก่อสร้างลานกีฬาอเนกประสงค์พร้อมอุปกรณ์สนาม จํานวน 1แห่ง,อําเภอลําลูกกา,3.2 การพัฒนาด้านสาธารณสุข,2400000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ติดตั้งกล้องวงจรปิด CCTV,4.0,ติดตั้งกล้องวงจรปิดเพิ่มความปลอดภัยแก่ชุมชน,กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,สร้างความเข้มแข็งและพัฒนาคุณภาพชีวิตของชุมชน,อําเภอลาดหลุมแก้ว,1.6 การดูแลรักษาความสงบเรียบร้อยของบ้านเมืองและความปลอดภัยของประชาชนในพื้นที่,4830000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ติดตั้งกล้องวงจรปิด CCTV พื้นที่อบต.ลําลูกกา,9.0,ติดตั้งกล้องวงจรปิดเพิ่มความปลอดภัยแก่ชุมชน,กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,ลดการก่ออาชญากรรมและลดการเกิดอุบัติเหตุ,อําเภอลําลูกกา,1.6 การดูแลรักษาความสงบเรียบร้อยของบ้านเมืองและความปลอดภัยของประชาชนในพื้นที่,2000000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ติดตั้งกล้องวงจรปิด CCTV พื้นที่ ต.บางกระบือ,12.0,ติดตั้งกล้องวงจรปิดเพิ่มความปลอดภัยแก่ชุมชน,กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,องค์กรปกครองส่วนท้องถิ่น ประชาชนและกลุ่มเสี่ยง,อําเภอสามโคก,1.6 การดูแลรักษาความสงบเรียบร้อยของบ้านเมืองและความปลอดภัยของประชาชนในพื้นที่,4000000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ติดตั้งเสียงตามสาย พื้นที่ อบต.ลําลูกกา,81.0,ติดตั้งเสียงตามสายเพื่อเพิ่มความสะดวกสบายแก่ชุมชน และได้รับข้อมูลข่าวสารมากยิ่งขึ้น,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ประชาชนสามารถรับรู้ข่าวสารได้อย่างรวดเร็ว,อําเภอลําลูกกา,1.6 การดูแลรักษาความสงบเรียบร้อยของบ้านเมืองและความปลอดภัยของประชาชนในพื้นที่,2000000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ก่อสร้างถนนผิวจราจร ค.ส.ล. พร้อมวางท่อระบายน้ำ ค.ส.ล. ถนนเลียบคลองรังสิตประยูรศักดิ์ ช่วงหมู่บ้านธงชัย ถึงคลองระบายน้ำที่ 2,14.0,ก่อสร้างถนนบริเวณเลียบคลองรังสิตเพิ่มความสะดวกแก่ผู้ใช้ถนน,กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,1. พื้นที่ได้รับการปรับปรุงซ่อมแซมและมีมาตรฐานเพิ่มขึ้น2.แก้ไขปัญหาจราจรติดขัด,อําเภอธัญบุรี,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,10000000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ก่อสร้างถนนผิวจราจรถนนเลียบคลองรังสิตประยูรศักดิ์ ช่วงหมู่บ้านณัฐดา ถึงหมู่บ้านสิวลี 2,59.0,ก่อสร้างถนนบริเวณเลียบคลองรังสิตเพิ่มความสะดวกแก่ผู้ใช้ถนน,กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,1. พื้นที่ได้รับการปรับปรุงซ่อมแซมและมีมาตรฐานเพิ่มขึ้น2.แก้ไขปัญหาจราจรติดขัด,อําเภอธัญบุรี,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,10000000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ก่อสร้างถนนลูกรังบริเวณถนนสาธารณะข้างหมู่บ้านแพรามาพร หมู่ที่ 4ตําบลบึงยี่โถ,63.0,ก่อสร้างถนนลูกรังบริเวณ ม.แพรามาพรเพิ่มความสะดวกแก่ผู้ใช้ถนน,กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,"1. ก่อสร้างถนนลูกรังกว้าง 6.00 ม. ยาว1,310 หนาเฉลี่ย1.10 ม.",อําเภอธัญบุรี,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,6850000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ขยายถนนคสล. บริเวณถนนชลมาร์คพิจารณ์,39.0,ขยายถนนบริเวณถ.ชลมาร์คพิจารณ์แก้ไขปัญหาจราจรหนาแน่น,กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,ขยายถนนค.ส.ล บริเวณถนนชลมาร์คพิจารณ์ จํานวน 1 แห่ง,อําเภอธัญบุรี,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,10500000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ก่อสร้างถนนซอยแปรงสี ม. 13 ต.หนองสามวัง อ.หนองเสือ จ.ปทุมธานี ระยะทาง 1.5 กม.,44.0,ก่อสร้างถนนซอยแปรงสี ม. 13 ต.หนองสามวัง อ.หนองเสือ จ.ปทุมธานี ระยะทาง1.5 กม.,,ก่อสร้างถนนซอยแปรงสี ม.13 ระยะทาง 1.5 กม.,อําเภอหนองเสือ,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,9000000.0
ประเด็นยุทธศาสตร์ที่ 4 : ยกระดับการจัดสวัสดิการสังคมและพัฒนาโครงสร้างพื้นฐานให้ทั่วถึงเพื่อสร้างความเข้มแข็งและพัฒนาชีวิตชุมชน,ก่อสร้างถนน คสล. ซอยทวีส ุข หมู่ 5,64.0,ก่อสร้างยกระดับ ถ.คอนกรีตเสริมเหล็กพร้อมวางท่อระบายน้ำ,กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,1. พื้นที่ได้รับการปรับปรุงซ่อมแซมและมีมาตรฐานเพิ่มขึ้น2.แก้ไขปัญหาจราจรติดขัด,อําเภอเมืองปทุมธานี,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,7852000.0
